PMCID,PMID,sec-title,sec-norm
PMC1064873,15535835,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusion', 'Abbreviations', 'Competing interests', ""Authors' contributions"", 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background', nan, nan, nan]"
PMC1064878,15642132,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusions', 'Abbreviations', 'Competing interests', ""Authors' contributions"", 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background', nan, nan, nan]"
PMC1064879,15642142,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusion', 'Abbreviations', 'Competing interests', ""Authors' contributions"", 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background', nan, nan, nan]"
PMC1064889,15642131,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusion', 'Abbreviations', 'Competing interests', ""Authors' contributions"", 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background', nan, nan, nan]"
PMC10649204,37959212,"['1. Introduction', '2. Materials and Methods', '3. Results', '4. Discussion', '5. Conclusions']","[nan, nan, nan, nan, nan]"
PMC1065055,15566582,"['Introduction', 'Organophosphorus and carbamate pesticide poisioning', 'Poisoning with other pesticides', 'Initial assessment of the unconscious patient', 'Does the patient require atropine? Recognition of OP/carbamate poisoning', 'Loading with atropine and IV fluids', 'Observation of the patient', 'Atropine toxicity', 'Care of the airway', 'Active cooling and sedation', 'Confirmation of exposure to cholinergic compounds', 'Treatment of the resuscitated and stable patient – should gastric decontamination be performed?', 'Oximes and other therapies', 'Care after the first few hours', 'Conclusions', 'Key messages', 'Competing interests', 'Abbreviations', 'Supplementary Material', 'Figures and Tables']","['background', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'conclusions', 'conclusions', nan, 'background', nan, nan]"
PMC1065056,15566583,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Key messages', 'Competing interests', 'Abbreviations', 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, 'background', nan]"
PMC1065065,15566594,"['Introduction', 'Methods', 'Results', 'Discussion', 'Key messages', 'Competing interests', 'Abbreviations', 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, 'background', nan]"
PMC1065109,15693965,"['Introduction', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Key messages', 'Abbreviations', 'Competing interests', ""Authors' contributions"", 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'conclusions', 'background', nan, nan, nan]"
PMC1065320,15743470,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusion', 'Abbreviations', 'Competing interests', ""Authors' contributions"", 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background', nan, nan, nan]"
PMC10686827,37968394,"['Main', 'A scalable generative model for protein systems', 'Analysis of unconditional samples', 'Programmability', 'Experimental validation', 'Discussion', 'Online content', 'Supplementary information', 'Extended data']","[nan, nan, nan, nan, nan, 'conclusions', nan, 'background', nan]"
PMC1069664,15783257,"['Health Benefits of Physical Activity', 'Translating Knowledge of Exercise Biology to Novel Therapeutics', 'Physiological Properties of Skeletal Muscle', 'Dynamics of Muscle Mass', 'Contractile and Metabolic Properties', 'Molecular Signaling Pathways', 'Cellular Memory', 'Summary and Conclusions']","[nan, nan, nan, nan, nan, nan, nan, 'conclusions']"
PMC10719110,37993718,"['Main', 'BS of ABA graphene', 'Nanoscale magnetic imaging and results', 'LL interferometry and strain-induced PMF', 'Discussion', 'Methods', 'Online content', 'Extended data']","[nan, nan, nan, nan, 'conclusions', 'methods', nan, nan]"
PMC10733149,38057667,"['Main', 'Organic carbon fluxes', 'Biogeochemical implications', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, 'methods', nan, 'background', nan, nan]"
PMC1074345,15813980,"['Review', 'Conclusions', 'List of abbreviations used', 'Competing interests', ""Authors' contributions""]","['methods', 'conclusions', nan, nan, nan]"
PMC1074357,15813995,"['Background', 'Results', 'Discussion', 'Methods', 'Competing interests']","['background', 'results', 'conclusions', 'methods', nan]"
PMC10781635,38177689,"['Main', 'Results', 'Discussion', 'Methods', 'Supplementary information', 'Source data', 'Extended data']","[nan, 'results', 'conclusions', 'methods', 'background', nan, nan]"
PMC10781642,38049480,"['Main', 'Results', 'Discussion', 'Methods', 'Supplementary information', 'Extended data']","[nan, 'results', 'conclusions', 'methods', 'background', nan]"
PMC10794143,38233616,"['Main', 'Synthetic theorems and proofs generation', 'Generating proofs beyond symbolic deduction', 'Training a language model on synthetic data', 'Combining language modelling and symbolic engines', 'Empirical evaluation', 'Geometry theorem prover baselines', 'Proving results on IMO-AG-30', 'Conclusion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC1079809,15804362,"['Background', 'Results', 'Discussion', 'Conclusion', 'Methods', ""Authors' contributions"", 'Electronic reference']","['background', 'results', 'conclusions', 'conclusions', 'methods', nan, nan]"
PMC1079815,15760479,"['Background', 'Implementation', 'Results and discussion', 'Conclusion', 'Availability and requirements', 'List of abbreviations used', ""Authors' contributions""]","['background', 'methods', 'conclusions', 'conclusions', nan, nan, nan]"
PMC1079816,15766385,"['Background', 'Results', 'Discussion', 'Conclusion', 'Methods', 'List of abbreviations', ""Authors' contributions""]","['background', 'results', 'conclusions', 'conclusions', 'methods', nan, nan]"
PMC1079830,15755330,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history', 'Supplementary Material']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan, nan]"
PMC1079837,15771781,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan]"
PMC1079851,15774009,"['Background', 'Results and discussion', 'Conclusion', 'Methods', ""Authors' contributions"", 'Figures and Tables']","['background', 'conclusions', 'conclusions', 'methods', nan, nan]"
PMC1079861,15757518,"['Background', 'Case presentation', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'conclusions', 'conclusions', nan, nan, nan]"
PMC1079876,15790392,"['Background', 'Case report', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'conclusions', 'conclusions', nan, nan, nan]"
PMC1079879,15792501,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan]"
PMC1079885,15790422,"['Background', 'Results', 'Discussion', 'Methods', 'Competing interests', ""Authors' contributions"", 'Figures and Tables']","['background', 'results', 'conclusions', 'methods', nan, nan, nan]"
PMC1079894,15790403,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan]"
PMC1079902,15796776,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', ""Authors' contributions""]","['background', 'methods', 'results', 'conclusions', 'conclusions', nan]"
PMC1079926,15790406,"['Background', 'Methods', 'Results and Discussion', 'Conclusion', 'Competing Interests']","['background', 'methods', 'conclusions', 'conclusions', nan]"
PMC1079932,15760473,['Editorial'],[nan]
PMC1079937,15813958,['Materials and methods'],['methods']
PMC1079956,15784149,"['Introduction', 'Patients, material and methods', 'Results', 'Discussion']","['background', 'methods', 'results', 'conclusions']"
PMC1079957,15769295,"['Conclusion', 'Competing interests']","['conclusions', nan]"
PMC1079959,15784145,"['Background', 'Results', 'Discussion', 'Conclusion', 'Methods', 'Competing interests', ""Authors' contributions""]","['background', 'results', 'conclusions', 'conclusions', 'methods', nan, nan]"
PMC10803258,38071379,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan]"
PMC10803262,38167935,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC10806742,38103548,"['Introduction', 'Material and methods', 'Results', 'Discussion', 'Supplemental information']","['background', 'methods', 'results', 'conclusions', nan]"
PMC10807932,38269204,"['INTRODUCTION', 'RESULTS', 'DISCUSSION', 'LIMITATIONS', 'CONCLUSION', 'METHODS', 'SUPPLEMENTARY MATERIAL', 'AUTHOR DECLARATIONS', 'DATA AVAILABILITY']","['background', 'results', 'conclusions', 'conclusions', 'conclusions', 'methods', nan, nan, nan]"
PMC10812023,37874311,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusions', 'Supplemental Material']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background']"
PMC10812042,36706011,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusions', 'Supplemental Material']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background']"
PMC1082905,15790398,"['Background', 'Results', 'Discussion', 'Conclusion', 'Methods', 'List of abbreviations', ""Authors' contributions""]","['background', 'results', 'conclusions', 'conclusions', 'methods', nan, nan]"
PMC1082911,15813966,['Editorial'],[nan]
PMC1082912,15819977,"['Background', 'Case presentation', 'Conclusion', 'Competing interests', ""Authors' contributions""]","['background', 'methods', 'conclusions', nan, nan]"
PMC10830419,38200310,"['Main', 'Mapping mitonuclear incompatibilities', 'Interactions with', 'Lethal effects in early development', 'Physiology and complex fitness effects', 'Mitochondrial biology in heterozygotes', 'Mitonuclear substitutions in complex I', 'Rapid evolution of complex I proteins', 'Introgression of incompatibility genes', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan]"
PMC1084249,15780139,"['Background', 'Methods/design', 'Discussion', 'Abbreviations', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'conclusions', 'background', nan, nan, nan]"
PMC1084250,15792499,"['Background and clinical perspectives', 'Coronary flow reserve in the stress- echo lab: a new approach to CAD', 'Coronary flow reserve: a new diagnostic power', 'Clinical application of coronary flow reserve', 'Coronary flow reserve: the importance of being quantitative', 'Prognostic role of coronary flow reserve', 'Multi coronary flow reserve: the next ultrasound challenge', 'Coronary flow reserve evaluation in clinical practice', 'List of Abbreviations', 'Supplementary Material']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
PMC1084334,15884974,"['Introduction', 'Results', 'Discussion', 'Materials and Methods', 'Supporting Information']","['background', 'results', 'conclusions', 'methods', nan]"
PMC1084346,15784141,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history', 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan, nan]"
PMC1084350,15804370,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan]"
PMC1084358,15819982,"['Introduction', 'Breast and circadian rhythm [', 'Dynamic thermal analysis', 'The Future']","['background', nan, nan, 'conclusions']"
PMC10845077,37592817,"['INTRODUCTION', 'BIOLOGICAL BACKGROUND OF STRESS AND PSYCHOSIS', 'ENVIRONMENTAL RISK FACTORS', 'CUMULATIVE EFFECT OF ENVIRONMENTAL STRESSORS', 'PROTECTIVE FACTORS AND RESILIENCE', 'BACKGROUND OF THE GENE-ENVIRONMENT INTERACTION MODEL OF PSYCHOSIS', 'DISCUSSION', 'CONCLUSION AND FUTURE PROSPECTS', 'CONSENT FOR PUBLICATION', 'FUNDING', 'CONFLICT OF INTEREST']","['background', nan, nan, nan, nan, nan, 'conclusions', nan, nan, 'background', 'background']"
PMC10845081,37563814,"['INTRODUCTION', 'MATERIALS AND METHODS', 'THE STRESS SYSTEM', 'THE STRESS RESPONSE', 'THE IMPACT OF PRENATAL MATERNAL STRESS ON NEURODEVELOPMENT', 'EARLY-LIFE STRESS (ELS) AND NEURODEVELOPMENTAL DISORDERS', 'ELS, POSTTRAUMATIC STRESS DISORDER, AND MENTAL HEALTH CONSEQUENCES', 'ADVERSE CHILDHOOD EXPERIENCES (ACES) AND PSYCHOPATHOLOGY IN CHILDHOOD AND ADOLESCENCE', 'ELS IN THE EPIGENETIC ERA', 'COVID-19-RELATED STRESS AND NEUROPSYCHIATRIC SEQUELAE', 'CONCLUSION AND FUTURE PERSPECTIVES', 'CONSENT FOR PUBLICATION', 'FUNDING', 'CONFLICT OF INTEREST']","['background', 'methods', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'background', 'background']"
PMC10845090,37559243,"['INTRODUCTION', 'INFLAMMATION AND MAJOR DEPRESSIVE DISORDER', 'ANTI-INFLAMMATORY TREATMENT FOR MAJOR DEPRESSIVE DISORDER', 'DISCUSSION', 'CONCLUSION', 'CONSENT FOR PUBLICATION', 'FUNDING', 'CONFLICT OF INTEREST']","['background', nan, nan, 'conclusions', 'conclusions', nan, 'background', 'background']"
PMC10845092,37644747,"['INTRODUCTION', 'MATERIALS AND METHODS', 'RESULTS', 'DISCUSSION', 'CONCLUSION', 'CONSENT FOR PUBLICATION', 'AVAILABILITY OF DATA AND MATERIALS', 'STANDARDS OF REPORTING', 'FUNDING', 'CONFLICT OF INTEREST', 'SUPPLEMENTARY MATERIAL']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan, 'background', 'background', nan]"
PMC10845093,36815632,"['INTRODUCTION', 'GENERALIZED ANXIETY DISORDER (GAD)', 'PANIC DISORDER AND SOCIAL ANXIETY DISORDER', 'POST-TRAUMATIC STRESS DISORDER (PTSD)', 'OBSESSIVE-COMPULSIVE DISORDER (OCD)', 'DISCUSSION: CHALLENGES AND FUTURE DIRECTIONS', 'CONCLUSION', 'AUTHORS’ CONTRIBUTIONS', 'CONSENT FOR PUBLICATION', 'FUNDING', 'CONFLICT OF INTEREST']","['background', nan, nan, nan, nan, nan, 'conclusions', nan, nan, 'background', 'background']"
PMC10850428,37553411,"['Introduction', 'Methods', 'Results', 'Discussion', 'Conclusions', 'Supplementary information']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background']"
PMC1087202,15839744,"['History and Epidemiology', 'Causative Organism and Pathology', 'Clinical Features', 'Treatment', 'Prevention of Disabilities', 'Public Health Efforts', 'Why Has Buruli Ulcer Been Neglected until Now?', 'Future Directions and the End of Obscurity', 'Conclusion']","[nan, nan, 'methods', 'methods', nan, nan, nan, nan, 'conclusions']"
PMC1087213,15986512,"['A World of Contrasts', 'Open Access to the Medical Literature: Critical for Our Future', 'The Influence of the Pharmaceutical Industry', 'The Need for Student Ideals and Ideas', 'Toward the Future']","[nan, nan, nan, nan, nan]"
PMC1087493,15804355,"['Background', 'Methods', 'Results', 'Discussion', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'results', 'conclusions', nan, nan, nan]"
PMC10878049,38284936,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Funding', 'Conflict of interest']","['background', 'methods', 'results', 'conclusions', 'background', 'background']"
PMC1087834,15813968,"['Background', 'Implementation', 'Results', 'Discussion', 'Availability and requirements', ""Authors' contributions"", 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', nan, nan, nan]"
PMC1087841,15819983,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Competing interests', ""Authors' Contributions"", 'Pre-publication history']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan]"
PMC1087844,15842735,"['Background', 'Results', 'Discussion', 'Conclusion', 'Methods', 'Competing interests', ""Authors' contributions"", 'Pre-publication history', 'Figures and Tables']","['background', 'results', 'conclusions', 'conclusions', 'methods', nan, nan, nan, nan]"
PMC1087854,15826314,"['Background', 'Methods', 'Discussion', 'Conclusion', 'List of abbreviations', 'Competing interests', ""Authors' contributions"", 'Pre-publication history']","['background', 'methods', 'conclusions', 'conclusions', nan, nan, nan, nan]"
PMC1087879,15819991,"['Background', 'Methods', 'Results', 'Discussion and implications', 'Competing interests', ""Authors' Contributions"", 'Supplementary Material']","['background', 'methods', 'results', 'conclusions', nan, nan, nan]"
PMC10878970,38182784,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan]"
PMC10878980,38191613,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan]"
PMC1088947,15774029,"['Background', 'Results', 'Discussion', 'Conclusions', 'Materials and methods', 'Figures and Tables']","['background', 'results', 'conclusions', 'conclusions', 'methods', nan]"
